"Time","angle"
38.168,-0.527344
38.172,-0.527344
38.176,-0.527344
38.18,-0.527344
38.184,-0.527344
38.188,-0.527344
38.192,-0.527344
38.196,-0.527344
38.2,-0.527344
38.204,-0.527344
38.208,-0.527344
38.212,-0.527344
38.216,-0.527344
38.22,-0.527344
38.224,-0.351562
38.228,-0.351562
38.232,-0.351562
38.236,-0.351562
38.24,-0.351562
38.244,-0.351562
38.248,-0.351562
38.252,-0.351562
38.256,-0.351562
38.26,-0.175781
38.264,-0.175781
38.268,-0.175781
38.272,-0.175781
38.276,-0.175781
38.28,-0.175781
38.284,-0.175781
38.288,-0.175781
38.292,-0.175781
38.296,0
38.3,0
38.304,0
38.308,0
38.312,0
38.316,0
38.32,0
38.324,0
38.328,0.175781
38.332,0.175781
38.336,0.175781
38.34,0.175781
38.344,0.175781
38.348,0.175781
38.352,0.175781
38.356,0.175781
38.36,0.175781
38.364,0.175781
38.368,0.351562
38.372,0.351562
38.376,0.351562
38.38,0.351562
38.384,0.351562
38.388,0.351562
38.392,0.351562
38.396,0.351562
38.4,0.351562
38.404,0.351562
38.408,0.351562
38.412,0.351562
38.416,0.351562
38.42,0.351562
38.424,0.351562
38.428,0.351562
38.432,0.351562
38.436,0.351562
38.44,0.351562
38.444,0.351562
38.448,0.351562
38.452,0.351562
38.456,0.351562
38.46,0.351562
38.464,0.351562
38.468,0.351562
38.472,0.351562
38.476,0.351562
38.48,0.351562
38.484,0.351562
38.488,0.351562
38.492,0.351562
38.496,0.351562
38.5,0.351562
38.504,0.351562
38.508,0.351562
38.512,0.175781
38.516,0.175781
38.52,0.175781
38.524,0.175781
38.528,0.175781
38.532,0.175781
38.536,0.175781
38.54,0.175781
38.544,0
38.548,0
38.552,0
38.556,0
38.56,0
38.564,0
38.568,0
38.572,0
38.576,0
38.58,0
38.584,0
38.588,-0.175781
38.592,-0.175781
38.596,-0.175781
38.6,-0.175781
38.604,-0.175781
38.608,-0.175781
38.612,-0.175781
38.616,-0.175781
38.62,-0.351562
38.624,-0.351562
38.628,-0.351562
38.632,-0.351562
38.636,-0.351562
38.64,-0.351562
38.644,-0.351562
38.648,-0.351562
38.652,-0.527344
38.656,-0.527344
38.66,-0.527344
38.664,-0.527344
38.668,-0.527344
38.672,-0.527344
38.676,-0.527344
38.68,-0.527344
38.684,-0.527344
38.688,-0.527344
38.692,-0.527344
38.696,-0.527344
38.7,-0.527344
38.704,-0.527344
38.708,-0.527344
38.712,-0.527344
38.716,-0.527344
38.72,-0.527344
38.724,-0.527344
38.728,-0.527344
38.732,-0.527344
38.736,-0.527344
38.74,-0.527344
38.744,-0.527344
38.748,-0.527344
38.752,-0.527344
38.756,-0.527344
